time,open,high,low,close,volume
2020-12-16 15:15:00,126.08,126.088,125.86,125.91,95131
2020-12-16 15:00:00,126.06,126.18,125.99,126.08,98510
2020-12-16 14:45:00,125.72,126.15,125.7,126.06,128490
2020-12-16 14:30:00,125.455,125.73,125.4265,125.7157,91678
2020-12-16 14:15:00,125.71,125.835,125.42,125.455,102427
2020-12-16 14:00:00,125.635,125.76,125.581,125.715,110331
2020-12-16 13:45:00,125.7,125.85,125.6,125.635,102637
2020-12-16 13:30:00,125.54,125.75,125.525,125.685,104136
2020-12-16 13:15:00,125.5263,125.57,125.3939,125.53,87137
2020-12-16 13:00:00,125.57,125.5878,125.286,125.54,92612
2020-12-16 12:45:00,125.485,125.58,125.44,125.56,71793
2020-12-16 12:30:00,125.68,125.7,125.49,125.4901,77049
2020-12-16 12:15:00,125.8,125.94,125.68,125.68,87512
2020-12-16 12:00:00,125.7,125.85,125.66,125.78,97346
2020-12-16 11:45:00,125.8461,126.02,125.625,125.69,111502
2020-12-16 11:30:00,125.54,125.85,125.48,125.85,132739
2020-12-16 11:15:00,125.76,125.89,125.5,125.56,114316
2020-12-16 11:00:00,126.11,126.12,125.67,125.74,119936
2020-12-16 10:45:00,126.285,126.56,125.98,126.12,152900
2020-12-16 10:30:00,126.14,126.55,126.12,126.28,126316
2020-12-16 10:15:00,126.38,126.5728,126.0,126.105,163368
2020-12-16 10:00:00,126.05,126.38,126.01,126.35,123381
2020-12-16 09:45:00,125.93,126.1018,125.66,126.0715,360569
2020-12-16 09:30:00,126.25,126.25,126.21,126.21,1134
2020-12-16 09:00:00,126.48,126.4899,126.35,126.35,756
2020-12-16 08:45:00,126.46,126.4898,126.25,126.42,3550
2020-12-16 08:30:00,126.24,126.47,126.24,126.47,700
2020-12-16 08:15:00,126.15,126.25,126.15,126.25,953
2020-12-16 08:00:00,126.11,126.11,126.11,126.11,601
2020-12-16 07:15:00,126.25,126.25,126.25,126.25,340
2020-12-16 06:45:00,126.5,126.5,126.5,126.5,477
2020-12-15 20:00:00,125.87,125.87,125.87,125.87,1000
2020-12-15 19:15:00,125.95,125.95,125.92,125.92,1591
2020-12-15 18:30:00,125.99,125.99,125.99,125.99,250
2020-12-15 17:45:00,125.98,125.98,125.68,125.98,2494
2020-12-15 17:00:00,125.93,125.98,125.93,125.98,4250
2020-12-15 16:45:00,125.93,125.93,125.89,125.89,622
2020-12-15 16:30:00,125.98,125.98,125.91,125.91,3190
2020-12-15 16:15:00,125.93,125.99,125.7,125.93,122754
2020-12-15 16:00:00,125.6589,125.93,125.51,125.93,394087
2020-12-15 15:45:00,125.535,125.75,125.535,125.66,174095
2020-12-15 15:30:00,125.78,125.87,125.52,125.54,161684
2020-12-15 15:15:00,125.515,125.8,125.505,125.78,156781
2020-12-15 15:00:00,125.71,125.75,125.5,125.52,101483
2020-12-15 14:45:00,125.54,125.73,125.5,125.7,127662
2020-12-15 14:30:00,125.67,125.72,125.51,125.52,97505
2020-12-15 14:15:00,125.5,125.71,125.435,125.6599,124264
2020-12-15 14:00:00,125.32,125.57,125.31,125.49,144143
2020-12-15 13:45:00,125.3,125.416,125.2945,125.3278,110093
2020-12-15 13:30:00,125.365,125.4572,125.24,125.27,136677
2020-12-15 13:15:00,125.21,125.41,125.12,125.35,94740
2020-12-15 13:00:00,124.81,125.19,124.79,125.19,127414
2020-12-15 12:45:00,124.63,124.82,124.57,124.8,66970
2020-12-15 12:30:00,124.5501,124.67,124.38,124.6432,59197
2020-12-15 12:15:00,124.4,124.6,124.3296,124.55,84637
2020-12-15 12:00:00,124.4018,124.5,124.27,124.41,63140
2020-12-15 11:45:00,124.19,124.41,124.1053,124.41,74130
2020-12-15 11:30:00,124.32,124.325,124.1,124.2,75663
2020-12-15 11:15:00,123.98,124.34,123.8,124.34,117011
2020-12-15 11:00:00,123.6,124.01,123.6,123.99,63044
2020-12-15 10:45:00,123.71,123.78,123.44,123.59,106505
2020-12-15 10:30:00,123.96,124.1922,123.7,123.73,132898
2020-12-15 10:15:00,123.78,124.1,123.62,123.99,97180
2020-12-15 10:00:00,124.35,124.35,123.68,123.76,98149
2020-12-15 09:45:00,124.39,124.52,123.95,124.38,265240
2020-12-15 09:15:00,124.15,124.15,124.15,124.15,184
2020-12-15 09:00:00,124.5,124.5,124.4,124.4,626
2020-12-15 08:30:00,124.5,124.5,124.5,124.5,1059
2020-12-14 18:30:00,123.75,123.75,123.6,123.6,694
2020-12-14 17:15:00,123.76,123.76,123.57,123.57,701
2020-12-14 17:00:00,123.74,123.76,123.74,123.76,311
2020-12-14 16:45:00,123.53,123.53,123.53,123.53,5848
2020-12-14 16:30:00,123.5424,123.5424,123.5424,123.5424,903
2020-12-14 16:15:00,123.53,125.095,123.53,123.97,260242
2020-12-14 16:00:00,123.85,124.05,123.47,123.53,435346
2020-12-14 15:45:00,124.15,124.15,123.84,123.8511,186004
2020-12-14 15:30:00,124.41,124.45,124.12,124.15,152231
2020-12-14 15:15:00,124.4,124.46,124.29,124.419,130471
2020-12-14 15:00:00,124.56,124.56,124.385,124.385,112043
2020-12-14 14:45:00,124.48,124.57,124.3,124.54,97771
2020-12-14 14:30:00,124.49,124.68,124.45,124.48,104042
2020-12-14 14:15:00,124.69,124.79,124.4574,124.47,89403
2020-12-14 14:00:00,124.9,124.93,124.65,124.68,79566
2020-12-14 13:45:00,124.8,125.0,124.784,124.91,57521
2020-12-14 13:30:00,124.9,124.93,124.79,124.79,86349
2020-12-14 13:15:00,125.01,125.1,124.75,124.936,70500
2020-12-14 13:00:00,125.05,125.09,124.82,124.98,78989
2020-12-14 12:45:00,125.32,125.32,125.05,125.068,82201
2020-12-14 12:30:00,125.26,125.36,125.08,125.32,59495
2020-12-14 12:15:00,125.255,125.3431,125.13,125.2601,53190
2020-12-14 12:00:00,125.34,125.4,125.22,125.2531,72362
2020-12-14 11:45:00,125.47,125.51,125.16,125.3299,76985
2020-12-14 11:30:00,125.775,125.82,125.37,125.4268,77509
2020-12-14 11:15:00,125.765,126.0,125.68,125.77,81741
2020-12-14 11:00:00,126.05,126.09,125.7191,125.78,131897
2020-12-14 10:45:00,126.09,126.24,125.92,126.02,116780
2020-12-14 10:30:00,125.925,126.17,125.6811,126.11,110345
2020-12-14 10:15:00,125.7,126.2435,125.7,125.93,147469
2020-12-14 10:00:00,125.705,125.78,125.35,125.66,118834
2020-12-14 09:45:00,125.32,125.82,124.96,125.72,297151
2020-12-14 09:30:00,125.01,125.26,125.01,125.26,1389
2020-12-14 09:15:00,124.93,124.93,124.93,124.93,509
2020-12-14 09:00:00,124.93,124.93,124.93,124.93,1425
2020-12-14 08:45:00,124.84,124.84,124.7,124.7,2257
2020-12-14 08:30:00,124.83,124.83,124.82,124.82,1200
2020-12-14 08:15:00,125.0,125.01,124.84,124.84,1060
2020-12-14 07:30:00,124.9,124.9,124.9,124.9,249
